service_name,pay_to,resources,freshness,quality,provenance
x402 Live Probe,0x9f8bd9875b3e0b632a24a3a7c73f7787175e73a2,772,t,t,t
Base Gas Snapshot,0xc85f0cf16f5e677bbe5dfc94662cc86f2fba0604,382,f,t,t
EU Power Dispatch API,0x2880edfff13100677bf97a3cbdf3bc34771c4e5e,353,f,t,f
x402-factory,0xcc42ed39a06b6cf3f484307ef76b88bf56fb305f,121,f,t,t
Stratalize,0x5d51ecc50813e0937a5c43be298e9146796ad60d,116,t,f,f
WealthPulse,0x52ab53912d37759b2ad364f22dd06b16714b6c06,93,f,t,f
NetIntel,0xdadc335482ad545296fd7b28518a251ffcbeb9df,79,t,t,t
DopamineDesk AI Marketplace,0x8647f7d7a1368a467ad1ff757fbc2e7167973558,78,f,f,t
AgentUtility.ai,0x6c0752c09e7f6fa6526fcdf40e456a159ebb5621,74,f,t,t
WebberSites x402 Data API,0xdd5fcea81ca6f1eb39fed5b973de794293b81ba6,70,f,t,f
API Acre,0xa0bfa4f07281c9b248dc3aed2217836bca24869b,63,f,f,t
Open Source Vulnerability Check,0x8c128f1ee62bb5e47867cfbae2ad89be325df1b2,62,t,f,t
Otto AI,0x0e84ddedaae6a779c462c22a59f301ec31b6b808,58,t,f,f
,0x3e7c9ca818f713f19e126e3b7b37b47dc1411570,55,f,t,t
BlockRun.AI,0xe9030014f5dae217d0a152f02a043567b16c1abf,52,f,t,f
chainquery Bitcoin RPC,0x7cf45cd775bdf31a5a96fa0a5805df0b610d87ff,29,t,f,f
,0x1f0409ccd20a2fb497d4decef4e17e9d0688fea6,27,f,f,t
insider-radar-agent,8d5dspgrox5p9v6oghluvlfxujp6en1zydf5kttq5n8v,27,f,t,f
OCR Text Extractor,0xe9740820225b3918b4ddd1292c7ca4ca0e2c2f08,26,f,t,f
LUMI,0x7eaf3c393a8996e124c0fa7ccbc55019854c4c5b,24,t,t,t
Concierge Agent,0xb85c83cc448edca8eb724f5d79b523faff9375a7,22,f,t,f
Qonoro Address Normalizer,0x40b62aa49f4a929760fb2dd0fcb0642f0aa872eb,21,f,t,t
,0xc9b70d8d342609437bc87ec3c877911a306d3e6a,20,f,t,f
Vedetta,0x21e16f1bc3aa847236354c8193d0cb21cf412efa,20,f,t,f
Stock Trends Market Intelligence,0xaeeb8eabdc05532a26123045f99d208eb1cc00ab,19,f,t,f
Open Source Filings,0x72f62de8b70d6cfa8cc2df6f21f243f289f3396c,18,f,f,t
,0x0ff5a6ecef783bba35463ec2f8403b9b5e9e7c86,17,f,t,f
Scanna,0xfca7d3b52d69b9b8371dd5765d3f294e46a4f59e,16,t,t,f
Dicta-Notes,0x1f2a484ef654d49c58c625b09e78b538501d652d,14,f,t,f
Text Diff,0xb86f95ef5fa904318ea9df3b59adce099b478fc4,13,f,t,f
,0x46ba634261566cf242c853d1f49511f9268ba674,13,t,f,f
Japan Invoice OCR,0xe4a4e5b226be71e7b6ed523bc7a91089c770572f,12,t,t,f
,0x1304ec1a8945365e43a5c18a734065f107b417ca,11,t,t,f
ApiToll DEX Volume,0x3da40a9ad36640a2c0f533bac368490095574664,11,f,t,f
,0x5c6b3a3dae296d3cef50fef96afc73410959a6db,9,f,t,f
,0xcc73d69a4d04fa41afa3727c45140d51d71f615c,9,f,f,t
,0x74500ee8519da3b6bf43642bc06be5874a9ecc99,8,f,f,t
Safety Incidents (OSHA),0x9f6c07e3f772ec49435579ec34e13141a94b9958,7,f,t,f
,0x0eba5d314f4f5dcb7a094953fa9311a45172dd1b,7,f,t,f
SentEdge SFX Gallery,0x7bebee9f4c1694e18fd9bf3bf0f113d7fb2d6bb3,7,f,t,f
,0x79f29dade1df4889357817a797516615a918ade2,7,f,t,t
ArtifactGuard,0xf18e030a22928f2d0a26ce065ccbbdba6a8bf137,7,f,f,t
OnRamperX,0x53598173ce7c26025bab0520d9e9d0c28fbcf7de,7,f,f,t
Scry Wallet Intelligence,ctkigv78yuerumvqm7qor8j1hmk2oxnxdhwpvrakv85d,6,f,t,t
Satellite & GeoRisk x402 API,0x0550779cfbc832657a8bb46bac9f359a5ad038b8,6,f,t,f
,0x6ee49a7872844397fb52870cc07b308ffadc9427,6,f,t,f
SchemaSure,0x9876af0f6d8ed5155cd02d1ca56d128601612690,6,f,t,f
"Hotel Search, Rates & Reviews",0x28410eac7393dba041cd5a92eefe7a8e834310bb,6,f,f,t
TrustAgent,0x6121654d3fd4c8b42a90d30472e4d40927c3e6bb,6,f,t,f
Official Source Evidence,0x9500075649a70411c81f99c4314f6cff55d12579,6,f,f,t
,0xcebbb82a183faa69b929ed1f417aafc63fa3b5b6,6,f,t,f
,0xc87a06dee4c0e85912296002617120bbfd5ef990,5,f,t,f
,0x93a1f57d2e0dbe4cc882b5dbaebe7f0f16443338,5,t,f,f
DCL Evaluator,0xb790ed3796194e5511c44411cf045f67e069cdc0,5,f,t,f
,0xbbecbe90f28632a9d52ed67b33b43767b8c89285,5,t,t,f
TrialBase DB,0x1ee42717b1c370dace197a8850bf41a932f3b5a8,4,f,f,t
agent-reader,0x737426d3ed53930b889b3f61774669a0fdf3be54,4,f,t,f
,0xd993eafba87cffa2ca2cff5a56ef89034575a7ef,4,f,t,f
,0x2fecabdfc849c76fdc28ca13aa0ab392753ef35c,4,t,t,f
ffpipe,0x38c72cab5d8f053a7cce4f522b923c3c70291b9d,3,f,f,t
MimirAPI,0x40e5a6647803c2dd686049dcdc5f9c34817d7a7f,3,f,t,f
ProposalCheck Premium,0x87f929c4ecac1556a507ce6b92ef95c52b28dba4,3,f,t,f
,0xc1726e09aea4b9b967353b7b56890955e9e5bc2c,3,f,t,t
,0xd6bcb41ffd35d8877fd9a31c7deea22e0ae2a465,3,t,f,f
,0xdf0c4a88cf28e24cd63a0d2ac54052c65f0c7700,2,f,t,f
invoice-extract,0xf07538b80b6959e5b8e4b5df65c73194d50fb7eb,2,f,t,f
,0xcd8975137d48ed9bfd1c299a62c01420b860070d,2,f,t,t
,0x8de52660283bc250f271f2c65e82d672baffa3c1,2,f,t,f
,0x9017de667f3835b3a7cb2d50013f65fc3d408bbe,2,f,t,f
RC Quantum Data Oracle,0x510d1c21788166b0a39f83796bf624e006849690,2,t,f,t
561-group-ephemeris-moment,0x42f72c0a340a4a55c082fe42483e87691d2bff64,2,f,t,t
,0x17cf15d61026b4cdd26cff6042f8e7d2e0ca5e8d,2,f,t,f
,0x318a8bac69c4ec1f9e489ce223b7ce2d719bcd3b,2,f,t,f
,0x735f74ede4361788d6634925d592711463be8164,2,t,t,f
,0x154b1006435e5cfe2206e7777c1003f9438119b1,2,t,f,f
ScrapeCheck,0x455f20ec147477cafcd6d77c1604529f3c4ff665,2,f,t,f
,0xfde7913abe6e4a4e3e3134cf050df9030ae8ef48,2,f,f,t
Agent Economy Lab,0x69948186638b5a5b3f62f2563ec88bf0ea7d73f5,1,f,t,t
,0x22b3d4485c8dcd8fc4840a7570664747c9055530,1,f,t,f
,0x1357bef96ec515d250137d7eb712f0395eb5142d,1,t,t,f
commodities.sh,0x0d4ee4e945601865e3a5bc5a188e4a9cf23c00d5,1,t,f,f
SourceLens,0x1480d7a7a299576b45d1793ec8fb1e68361045b0,1,f,t,f
,0x8d32c6a3ee3fb8a8b4c5378f7c5a26cc320a853f,1,f,t,f
VerityLayer,0x89d38023167bda453bed9f6cbf22ddd1ec5f70a7,1,f,t,f
,0x1ddf747975c4ebeaf48e14a5110f7eab6b0807f2,1,f,t,f
,0xbf11e11ab3607ae7f1c51b79fd0e585c0cca4b82,1,t,t,f
ZoningVerdict,0xc1dab3c368f8b6595c49df67f4a17225e0ceb785,1,f,f,t
WalletTriage,0x93835cf2bd459e72b577ed944e33578d8529dacc,1,f,f,t
Wikipedia Article Summary,0x6a706d6fcf192c15fb592d7502258ed41425dd36,1,f,f,t
x402 Entity-ID Resolver,0x5fa62365201ad373754c0a5cee69aa6167164a16,1,f,t,f
Sports Predictor,0x11a5a9ee3fffd4d8cbb2b3c5e02acaa268486b67,1,f,t,f
