from_addr,payments,recipients,usdc
0x2b4ee3387008e5ff1a9996fc8b48d2fd61389037,7473827,1,196433.241869
0xa39c469c59270f5403b4641131b89bfe2459889f,120530,3,725.035500
0x1cb8d1456efc633da6eeaa038033edcbcdc0bdff,78890,6,195.780000
0xcfa370b01125f985ca1be78bfda9fd790b3da8dc,50787,1,540.318000
0xada3f7da6e71875f1e21e4880081e372e2d0c3cf,18118,1,482.642000
0xd97c63d0503b506b63cae11128cc09d7c1220093,11599,2,198.604800
0x6af9fe471a40560d28737feb2832af50cd45b2f8,9116,3,70.464000
0x9d3d9410be95fa1d230734b961997427fc61d837,8890,6,317.180774
0xcc7854ae277e8ec12a6abec254b66d4d0be6f24c,7240,1,17.353961
0x14bd18e99aced6950722468f262acf8c4f085f76,6765,11,63.818600
0x7e571e959cc7c75ccdd2eac24f8775ea2eaa2f09,6567,337,178.259493
0x8a1a037b4fb377fcecd0f8a0b91a6a35df78aa53,6274,42,45.748000
0x5a3f00607c459474a994292ed55641afbba2f361,5088,2,101.702000
0x5e95cd8d85d0dc7069a9eaa9e92017bc4903a55e,4357,12,23.325600
0xa9c424d119323495c3260ef16c7813a1133cd84e,3549,1,3.549000
0x4aa50c64b321abfe9be9b4bad813c6dac354b877,3335,2,51.824962
0x6909c628167075208e7975c1668522ee629dc0ac,3328,14,16.593000
0xc85f0cf16f5e677bbe5dfc94662cc86f2fba0604,2908,31,8.519200
0x52af3e6d13f7c13ec887a2e69058a1432aa5b768,2823,1,54.270000
0xa087fa11accfff457fd259401a416c7b6ebfd648,2551,1,649.781376
0xd3f621a696278d38fe864ddf371aaff8f0132c7c,2497,7,63.170000
0x34913a202138c83d0ed5fca84e15da456d24402e,2375,1,54.075245
0xebc8c71970eeb6973bd87f1ff146b3ec4a5972f8,2210,2,809.142230
0x3a52b39f3d7447e8f747785c954b9e7b0e285169,2135,2,126.100600
0xcd513d2e063177caa937d70b4d87603a9a4946a9,1857,93,26.039363
0x902dcf34e53695bdea2ffb354b1a2e58bd598256,1715,4,71.548000
0x77d919cf27b7e9583a57e98cf66f3d2e55782ed5,1661,1,6.380209
0x3a2762c54c270a6e097d9b38970b835e5fe59c0b,1648,1,49.560000
0x8000dce4a82e68053326c1f2853d00081084efeb,1618,1,26.670000
0x4dc8cce9b9083942489857efc5597e8003380cd1,1539,4,76.100600
0x9a913dcfd47be23b8aab717d2cd672077b1792fc,1446,23,71.318700
0x0ab8e863c5f39cda36207abd07c093b7df92fd2c,1395,2,15.670519
0xeebe94d4ed4a9e52b049e44ec1c35c1f73f67f4e,1390,5,9.028000
0xdd138e963e5f381ee525aec30da47e2904a45f62,1319,50,41.055422
0x5ec04c6a462c797da50cda71d7ec2e77ebdb4da3,1309,2,118.648600
0x2b38a4bb7ce552e82d5664224bacc1c3daf1ab7d,1294,6,34.100000
0xbc9ce6efbe7c313b9c75b726d6a607ab1e80bc63,1266,1,43.266324
0x8509f588a627e908e4e7874e6b651df73425cb93,1218,4,25.486800
0x0c0d3a429c7b5745ee5fcba087b4bedf73fc6fbb,1216,3,14.726000
0xc2f9ef1a1e55560015666381df151e1079242680,1214,1,26.455600
0x5ff398044d941e9effad20f8380168b7a46a127c,1186,1,18.478000
0x47ee566e9123b39f8ae16f2e8c85996eb2fdc6e8,1175,3,24.490000
0xd14356b570bbe21e7ed652767965b75ee513f376,1163,10,361.059287
0xb46fc1cb99e8cb3afd259afcbd7091123754b59e,1163,2,63.070000
0xdb48f51a2de8f4a80cd1d0badcd18e847734a74a,1126,1,108.698400
0x5b01e3f2741a34b130857013cb7b361cd8147c72,1097,1,6.737000
0xc87763f4e1fe8a8fae04963d1122d2e1fac1d669,1086,1,97.740000
0x98978c8926ac59325b74c7070d9b71fe8d8de042,1085,12,6.419523
0x930dea6e32f07e06711b3966ab5e8962551082c1,1053,1,209.514000
0x4b8340ddc39fdd488553bfe6f98272973f1ff4dc,1037,1,10.361000
0xc533bf5268a2f64adde58dce380651f70aa92d7a,1029,276,4.950712
0xb92a2a1acd95a1eb3e1666157ba7e6abe0341e0f,968,120,9.966400
0x6575ae42e14f26e377d86c022385620297bbb92b,951,7,3.241262
0x12b24e3e980efdccab9e964d23c546c22044d9b0,902,1,4.188445
