address,currency,price_observed,price_stable,payments,distinct_payers,first_seen,last_seen,domain,service_name,endpoint_url,source
rBi1QrVjwaNofisZAQnovoXdHkS73FG1tJ,RLUSD,0.003,false,984059,109,2026-08-24T12:51:33Z,2026-09-04T08:45:01Z,,,,observed
rMPwy3Ntx56Nyc2fKGNm7VRWdmpHSB92Z7,RLUSD,0.002,true,13212,109,2026-08-24T12:51:37Z,2026-08-28T15:37:39Z,,,,observed
rDn19FLcTfVVHWqeBdQxog5axED6UYac1z,XRP,0.001,true,2825,109,2026-08-24T12:56:29Z,2026-09-04T08:35:53Z,,,,observed
rhHNcY5Vt3wTqKe1mTa2nENdd1UvVfcjYV,XRP,0.001,true,2808,109,2026-08-24T12:56:52Z,2026-09-04T08:38:08Z,,,,observed
rLq2XrZH4LzQU7oT4AzvCzucaRoRDaA1pX,XRP,0.001,true,2794,109,2026-08-24T12:52:31Z,2026-09-04T08:37:41Z,,,,observed
rUQVuzLzrZKxiECpUGiEM91ZMfzU2MiAp7,XRP,0.002,true,2774,109,2026-08-24T12:53:53Z,2026-09-04T08:39:48Z,,,,observed
rKP8DWSNP1VFs3hg2toHHyjQPencWSbkWF,XRP,0.002,true,2768,109,2026-08-24T12:52:27Z,2026-09-04T08:39:36Z,,,,observed
r4utuNQ33F6Hbcbd1sWdU6A7AqnG5FxjVu,XRP,0.001,true,2768,109,2026-08-24T13:08:49Z,2026-09-04T08:42:38Z,,,,observed
rfC92oo2fSvcCs6VFgzF7KnUmUR1y9hjop,XRP,0.001,true,2765,109,2026-08-24T12:54:56Z,2026-09-04T08:40:50Z,,,,observed
rDpVvZvYQ2QKRqUKtrmbkekXU7278r6XTp,XRP,0.001,true,2761,109,2026-08-24T13:07:42Z,2026-09-04T08:44:33Z,,,,observed
rMVGfQte3YgHWDZwJYaKTyfmG7BuJaWbRo,XRP,0.002,true,2760,109,2026-08-24T12:54:20Z,2026-09-04T08:39:25Z,,,,observed
rMk73X4pxJmLzVSUABcCXJh6TbymQ2WiWk,XRP,0.001,true,2760,109,2026-08-24T12:57:40Z,2026-09-04T08:44:18Z,,,,observed
r3JGy3Yes6vjdDQMMyodaUMEeRQDkhVLG5,XRP,0.001,true,2756,109,2026-08-24T12:56:10Z,2026-09-04T08:42:26Z,,,,observed
rfuuLFZcW2DRAqvQeY9CjQHgdMFEYcMB9g,XRP,0.001,true,2755,109,2026-08-24T12:52:39Z,2026-09-04T08:37:53Z,,,,observed
rGTzRTL53yQbztxVANT4UJLhU3ua3ViNkc,XRP,0.001,true,2751,109,2026-08-24T12:55:54Z,2026-09-04T08:36:20Z,,,,observed
rh2KjU8BBX7oXifLhYGXxHU3hXZvxQNq43,XRP,0.002,true,2749,109,2026-08-24T12:53:53Z,2026-09-04T08:39:29Z,,,,observed
rP8WjAdpyLeaPyy18QY2adPZoW47HtRQjt,XRP,0.001,true,2749,109,2026-08-24T12:58:38Z,2026-09-04T08:36:24Z,,,,observed
rGLRCqtQpAPdN68svtrCqTUMYQKa1TXZQE,XRP,0.001,true,2749,109,2026-08-24T12:55:27Z,2026-09-04T08:41:31Z,,,,observed
rJyDEP2Y7LS2d6jisVC7A2FRJNSebZrsC8,XRP,0.001,true,2746,109,2026-08-24T12:56:29Z,2026-09-04T08:43:00Z,,,,observed
rUuM6q8y9krTg8wCShSQLDhWm2VhqMCsDS,XRP,0.001,true,2745,109,2026-08-24T12:57:59Z,2026-09-04T08:44:49Z,,,,observed
rJQxThvPzzc7cKztz3HcJ2DQMPr525xcTR,XRP,0.001,true,2743,109,2026-08-24T12:52:20Z,2026-09-04T08:44:30Z,,,,observed
rBB63K6fvE343Tz57ekQvgR2aEjkbgPENH,XRP,0.001,true,2739,109,2026-08-24T12:56:17Z,2026-09-04T08:42:45Z,,,,observed
rJ5FHnr923oVyJFo8KPYfGov9KUKnhmp1b,XRP,0.002,true,2738,109,2026-08-24T12:55:26Z,2026-09-04T08:38:50Z,,,,observed
rHBK9j4UjbzbJm7dVfhs16DHh2dXBufPU2,XRP,0.001,true,2737,109,2026-08-24T12:55:35Z,2026-09-04T08:36:55Z,,,,observed
rUKZPpUoNKfAmy2PRNbYVDUJqXEQ54HLgM,XRP,0.002,true,2735,109,2026-08-24T12:54:24Z,2026-09-04T08:40:23Z,,,,observed
rN6i7WmVBFE5s4wMYGAgnzB379N8VzSArL,XRP,0.001,true,2734,109,2026-08-24T12:52:39Z,2026-09-04T08:37:49Z,,,,observed
r9oBwq2V9owRWioKVVTAbsCU77fuFifZMm,XRP,0.001,true,2732,109,2026-08-24T12:54:36Z,2026-09-04T08:40:34Z,,,,observed
